Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
14:15:2:795;2.;0.6;0;0.4;2;2;3;2;20;13;0.4;0.2;0.8;0.8;0.7;1
14:15:2:924;2.;0.6;0.6;0.4;2;2;3;2;20;13;0.4;0.2;0.8;0.8;0.7;1
14:15:41:422;2.;0.56;0.6;0.4;2;2;3;2;20;13;0.4;0.2;0.8;0.8;0.7;1
14:15:42:100;2.;0.42;0.6;0.4;2;2;3;2;20;13;0.4;0.2;0.8;0.8;0.7;1
14:15:42:593;2.;0.26;0.6;0.4;2;2;3;2;20;13;0.4;0.2;0.8;0.8;0.7;1
14:15:59:518;2.;0.26;0.38;0.4;2;2;3;2;20;13;0.4;0.2;0.8;0.8;0.7;1
14:16:0:115;2.;0.26;0.2;0.4;2;2;3;2;20;13;0.4;0.2;0.8;0.8;0.7;1
14:20:24:645;2.;0.26;0.2;0.4;2;2;3;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:20:27:864;2.;0.26;0.2;0.4;2;2;5;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:20:35:102;2.;0.26;0.2;0.4;2;2;1;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:20:36:569;2.;0.26;0.2;0.4;2;2;1;1;20;13;0.4;0.2;0.8;0.8;0.7;1
14:20:39:572;2.;0.26;0.2;0.4;2;2;2;1;20;13;0.4;0.2;0.8;0.8;0.7;1
14:20:47:242;2.;0.26;0.2;0.4;2;2;3;1;20;13;0.4;0.2;0.8;0.8;0.7;1
14:20:49:867;2.;0.26;0.2;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:22:19:709;2.;0;0.2;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:22:19:735;2.;0;0;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:22:44:608;2.;0;30;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:22:44:611;2.;0;0.4;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:22:44:726;2.;0.2;30;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:22:44:726;2.;0.6;0.4;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:22:45:570;2.;0.2;30;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:22:45:572;2.;0.6;0.4;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:22:45:693;2.;0.2;30;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:22:45:694;2.;0.6;0.4;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:22:47:256;2.;0.6;30;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:22:47:256;2.2;0.6;0.4;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:22:58:760;2.2;0.6;0.4;0.4;2;2;3;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:23:5:899;2.2;0.6;0.4;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:23:8:633;2.2;0.6;0.4;0.4;2;2;2;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:23:11:406;2.2;0.6;0.4;0.4;2;2;2;2;20;13;0.4;0.2;0.8;0.8;0.7;1
14:24:4:311;2.2;0.6;0.4;0.4;2;2;2;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:24:7:746;2.2;0.6;0.4;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:24:10:390;2.2;0.6;0.4;0.4;2;2;1;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:24:12:970;2.2;0.6;0.4;0.4;2;2;2;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:24:15:759;2.2;0.6;0.4;0.4;2;2;2;2;20;13;0.4;0.2;0.8;0.8;0.7;1
14:24:18:702;2.2;0.6;0.4;0.4;2;2;2;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:24:22:162;2.2;0.6;0.4;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:24:24:782;2.2;0.6;0.4;0.4;2;2;3;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:24:27:224;2.2;0.6;0.4;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:24:31:682;2.2;0.6;0.75;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:24:33:907;2.2;0.6;0.88;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:24:43:783;2.2;0.6;0.72;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:24:53:44;2.2;0.6;0.65;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:24:57:788;2.2;0.6;0.98;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:25:3:35;2.2;0.6;0.4;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:25:8:718;2.2;0.6;0.6;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:25:13:959;2.2;0.6;0.83;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:25:16:954;2.2;0.6;0.58;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:25:21:501;2.2;0.6;0.45;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:25:24:838;2.2;0.6;0.76;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:25:56:977;2.2;0.6;0.74;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:25:57:953;2.2;0.6;0.65;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:25:59:359;2.2;0.6;0.58;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:26:0:380;2.2;0.6;0.59;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:26:10:559;2.2;0.67;0.59;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:26:14:900;2.2;0.68;0.59;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:26:17:524;2.2;0.59;0.59;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:26:19:68;2.2;0.44;0.59;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:26:20:538;2.2;0.43;0.59;0.4;2;2;2;4;20;13;0.4;0.2;0.8;0.8;0.7;1
14:26:56:267;2.2;0.43;0.59;0.4;2;2;2;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:27:1:99;2.2;0.43;0.59;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
14:27:4:956;2.2;0.43;0.59;0.4;2;2;3;2;20;13;0.4;0.2;0.8;0.8;0.7;1
14:27:11:472;2.2;0.43;0.59;0.4;2;2;4;2;20;13;0.4;0.2;0.8;0.8;0.7;1
14:27:18:312;2.2;0.43;0.59;0.4;2;2;3;2;20;13;0.4;0.2;0.8;0.8;0.7;1
14:30:13:677;2.;0.43;0;0.4;2;2;3;2;20;13;0.4;0.2;0.8;0.8;0.7;1
14:30:13:775;2.;0;0;0.4;2;2;3;2;20;13;0.4;0.2;0.8;0.8;0.7;1
14:30:33:567;2.;0;29.01;0.4;2;2;3;2;20;13;0.4;0.2;0.8;0.8;0.7;1
14:30:33:569;2.;0;0.6;0.4;2;2;3;2;20;13;0.4;0.2;0.8;0.8;0.7;1
14:30:34:90;2.;0.2;29.01;0.4;2;2;3;2;20;13;0.4;0.2;0.8;0.8;0.7;1
14:30:34:91;2.;0.4;0.6;0.4;2;2;3;2;20;13;0.4;0.2;0.8;0.8;0.7;1
