Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
16:16:1:272;2.1;0;0;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
16:16:1:483;2.1;0.6;0;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
16:16:1:887;2.1;0.6;0.6;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
16:16:33:826;2.1;0.54;0.6;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
16:16:35:704;2.1;0.28;0.6;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
16:16:36:554;2.1;0.22;0.6;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
16:16:37:685;2.1;0.78;0.6;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
16:16:38:529;2.1;1.41;0.6;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
16:16:39:295;2.1;1.4;0.6;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
16:16:46:561;2.1;1.12;0.6;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
16:16:47:518;2.1;0.51;0.6;0.4;2;2;3;3;20;13;0.4;0.2;0.8;0.8;0.7;1
16:20:18:996;2.1;0.51;0.6;0.4;2;2;2;3;20;13;0.4;0.2;0.8;0.8;0.7;1
16:20:21:1;2.1;0.51;0.6;0.4;2;2;1;3;20;13;0.4;0.2;0.8;0.8;0.7;1
16:20:22:795;2.1;0.51;0.6;0.4;2;2;1;1;20;13;0.4;0.2;0.8;0.8;0.7;1
16:20:34:677;2.1;0.51;0.6;0.4;2;2;4;1;20;13;0.4;0.2;0.8;0.8;0.7;1
16:20:44:954;2.1;0.51;0.6;0.4;2;2;4;3;20;13;0.4;0.2;0.8;0.8;0.7;1
16:22:26:862;2.;0.51;0.6;0.4;2;2;4;3;20;13;0.4;0.2;0.8;0.8;0.7;1
16:22:27:149;2.;0;0.6;0.4;2;2;4;3;20;13;0.4;0.2;0.8;0.8;0.7;1
16:23:08:631;2.2;0.6;0.4;0.65;2;2;4;3;0;20;0.6;0.74;0.4;1.84;0.82;1
16:23:10:152;2.2;0.6;0.4;0.41;2;2;4;3;0;20;0.6;0.74;0.4;1.84;0.82;1
16:23:13:631;2.2;0.6;0.4;0.75;2;2;4;3;0;20;0.6;0.74;0.4;1.84;0.82;1
16:23:15:631;2.2;0.6;0.4;0.35;2;2;4;3;0;20;0.6;0.74;0.4;1.84;0.82;1
16:23:20:631;2.2;0.6;0.4;0.46;2;2;4;3;0;20;0.6;0.74;0.4;1.84;0.82;1
16:23:22:631;2.2;0.6;0.4;0.58;2;2;4;3;0;20;0.6;0.74;0.4;1.84;0.82;1
16:23:30:631;2.2;0.6;0.4;0.5;2;2;4;3;0;20;0.6;0.74;0.4;1.84;0.82;1
16:23:35:631;2.2;0.6;0.4;0.5;2;2;3;3;0;20;0.6;0.74;0.4;1.84;0.82;1
16:23:42:631;2.2;0.6;0.4;0.5;2;2;3;3;0;20;0.6;0.74;0.4;1.84;0.52;1
16:23:48:631;2.2;0.6;0.4;0.5;2;2;3;3;0;20;0.6;0.74;0.4;1.84;1.09;1
16:23:50:631;2.2;0.6;0.4;0.5;2;2;3;3;0;20;0.6;0.74;0.4;1.84;0.76;1
16:23:52:631;2.2;0.6;0.4;0.5;2;2;3;3;0;20;0.6;0.74;0.4;1.84;1.09;1
16:24:08:631;2.2;0.6;0.4;0.5;2;2;3;3;0;20;0.6;0.74;0.4;1.53;1.09;2
16:24:09:631;2.2;0.6;0.4;0.5;2;2;3;3;0;20;0.6;0.74;0.4;1.53;1.09;2
16:24:11:631;2.2;0.6;0.4;0.5;2;2;3;3;0;20;0.6;0.74;0.4;1.53;1.09;1
16:24:17:631;2.2;0.6;0.4;0.5;2;2;3;3;0;44;0.6;0.74;0.4;1.53;1.09;1
16:24:19:631;2.2;0.6;0.4;0.5;2;2;3;3;0;65;0.6;0.74;0.4;1.53;1.09;1
16:24:23:631;2.2;0.6;0.4;0.5;2;2;3;3;0;75;0.6;0.74;0.4;1.53;1.09;1
16:24:28:631;2.2;0.6;0.4;0.5;2;2;3;3;0;75;0.6;0.74;0.4;1.53;0.82;1
16:24:34:631;2.2;0.6;0.4;0.5;2;2;3;3;0;75;0.6;0.74;0.4;1.53;0.67;1
16:24:43:631;2.2;0.6;0.4;0.5;2;2;3;3;0;75;0.6;0.74;0.4;1.53;0.8;1
16:24:51:631;2.2;0.6;0.4;0.5;2;2;3;3;0;75;0.6;0.74;0.4;0.96;0.8;1
16:25:27:631;2.2;0.6;0.4;0.5;2;2;3;3;0;34;0.6;0.74;0.4;0.96;0.8;1
16:25:31:631;2.2;0.6;0.4;0.5;2;2;3;3;0;46;0.6;0.74;0.4;0.96;0.8;1
16:25:33:631;2.2;0.6;0.4;0.5;2;2;3;3;0;74;0.6;0.74;0.4;0.96;0.8;1
16:25:51:631;2.2;0.6;0.4;0.5;2;2;3;3;0;46;0.6;0.74;0.4;1.06;0.8;1
16:26:03:631;2.2;0.6;0.4;0.6;2;2;3;3;0;46;0.6;0.74;0.4;1.06;0.8;1
16:26:07:631;2.2;0.6;0.4;0.77;2;2;3;3;0;46;0.6;0.74;0.4;1.06;0.8;1
16:26:10:631;2.2;0.6;0.4;0.72;2;2;3;3;0;46;0.6;0.74;0.4;1.06;0.8;1
16:26:16:631;2.2;0.6;0.4;0.72;2;2;3;3;0;59;0.6;0.74;0.4;1.06;0.8;1
16:26:19:631;2.2;0.6;0.4;0.72;2;2;3;3;0;67;0.6;0.74;0.4;1.06;0.8;1
16:26:25:631;2.2;0.6;0.4;0.54;2;2;3;3;0;67;0.6;0.74;0.4;1.06;0.8;1
16:26:27:631;2.2;0.6;0.4;0.41;2;2;3;3;0;67;0.6;0.74;0.4;1.06;0.8;1
16:26:30:631;2.2;0.6;0.4;0.27;2;2;3;3;0;67;0.6;0.74;0.4;1.06;0.8;1
16:26:36:631;2.2;0.6;0.4;0.27;2;2;3;3;0;67;0.6;0.74;0.4;1.06;0.56;1
16:27:30:631;2.2;0.6;0.4;0.27;2;2;3;3;0;67;2.16;0.74;0.4;1.06;0.56;1
16:28:01:631;2.2;0.6;0.4;0.27;2;2;3;3;0;67;2.16;0.74;1.31;1.06;0.56;1
16:27:43:631;2.2;0.6;0.4;0.27;2;2;3;3;0;67;2.16;0.74;1.31;1.06;0.56;1
16:28:26:43;2.2;0.52;0.4;0.27;2;2;3;3;0;67;2.16;0.74;1;1.06;0.56;1
16:28:28:523;2.2;0.54;0.4;0.27;2;2;3;3;0;67;2.16;0.74;1;1.06;0.56;1
16:28:46:296;2.2;0.51;0.4;0.27;2;2;3;3;0;67;2.16;0.74;1;1.06;0.56;1
16:28:50:502;2.2;1.12;0.4;0.27;2;2;3;3;0;67;2.16;0.74;1;1.06;0.56;1
16:29:2:350;2.2;1.09;0.4;0.27;2;2;3;3;0;67;2.16;0.74;1;1.06;0.56;1
16:29:5:860;2.2;0.56;0.4;0.27;2;2;3;3;0;67;2.16;0.74;1;1.06;0.56;1
16:29:22:860;2.2;0.56;0.4;0.27;2;2;3;3;0;35;2.16;0.74;1;1.06;0.56;1
16:29:30:860;2.2;0.56;0.4;0.27;1;2;3;3;0;35;2.16;0.74;1;1.06;0.56;1
16:29:35:860;2.2;0.56;0.4;0.27;3;2;3;3;0;35;2.16;0.74;1;1.06;0.56;1
16:29:45:860;2.2;0.56;0.4;0.27;3;3;3;3;0;35;2.16;0.74;1;1.06;0.56;1
16:29:55:860;2.2;0.56;0.4;0.27;3;3;3;3;0;54;2.16;0.74;1;1.06;0.56;1
16:30:10:860;2.2;0.56;0.4;0.27;3;3;3;3;0;54;2.16;0.74;1;1.06;0.77;1
16:30:13:860;2.2;0.56;0.4;0.27;3;3;3;3;0;54;2.16;0.74;1;1.06;1.01;1
16:30:20:860;2.2;0.56;0.4;0.27;3;3;3;3;0;54;2.16;0.74;1;1.06;1.16;1
16:30:10:860;2.2;0.56;0.4;0.27;3;3;3;3;0;54;2.16;0.74;1;1.06;1.01;1
16:30:25:860;2.2;0.56;0.4;0.27;3;3;3;3;0;54;2.16;0.74;1;1.06;1.40;1
16:30:40:860;2.2;0.56;0.4;0.27;3;3;3;3;0;54;2.16;0.74;1;1.38;1.40;1
16:30:45:860;2.2;0.56;0.4;0.27;3;3;3;3;0;54;2.16;0.74;1;1.76;1.40;1
16:31:06:860;2.2;0.56;0.4;0.27;3;3;3;3;0;55;2.16;0.74;1;1.76;1.40;1
16:31:08:860;2.2;0.56;0.4;0.27;3;3;3;3;0;56;2.16;0.74;1;1.76;1.40;1
16:31:12:860;2.2;0.56;0.4;0.27;3;3;3;3;25;56;2.16;0.74;1;1.76;1.40;1
16:31:17:860;2.2;0.56;0.4;0.27;3;3;3;3;25;79;2.16;0.74;1;1.76;1.40;1
16:31:39:860;2.2;0.56;0.4;0.39;3;3;3;3;25;79;2.16;0.74;1;1.76;1.40;1
16:31:42:860;2.2;0.56;0.4;0.52;3;3;3;3;25;79;2.16;0.74;1;1.76;1.40;1
16:31:47:860;2.2;0.56;0.4;0.74;3;3;3;3;25;79;2.16;0.74;1;1.76;1.40;1
16:31:50:860;2.2;0.56;0.4;0.28;3;3;3;3;25;79;2.16;0.74;1;1.76;1.40;1
16:32:00:860;2.2;0.56;0.4;0.28;3;3;3;3;25;79;2.16;0.74;1;1.76;1.83;1
16:32:02:860;2.2;0.56;0.4;0.28;3;3;3;3;25;79;2.16;0.74;1;1.76;1.45;1
16:32:07:860;2.2;0.56;0.4;0.28;3;3;3;3;25;79;2.16;0.74;1;2.12;1.45;1
16:32:32:860;2.2;0.56;0.4;0.28;3;3;3;3;25;79;2.16;0.74;1;0.98;1.45;1
16:32:35:860;2.2;0.56;0.4;0.28;3;3;3;3;25;79;2.16;0.74;1;1.39;1.45;1
16:32:45:860;2.2;0.56;0.4;0.28;3;3;3;3;25;63;2.16;0.74;1;1.39;1.45;1
16:32:47:860;2.2;0.56;0.4;0.28;3;3;3;3;25;24;2.16;0.74;1;1.39;1.45;1
16:32:45:860;2.2;0.56;0.4;0.28;3;3;3;3;25;24;2.16;0.74;1;1.39;1.45;1
