Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
15:53:46:466;3.2;0.38;0.3;1;2;2;5;1;21;7;0.2;0.2;0.8;0.8;1.5;2
15:54:2:435;3.2;0.38;0.3;1;2;2;5;1;25;7;0.2;0.2;0.8;0.8;1.5;2
15:54:7:21;3.2;1;0.3;1;2;2;5;1;25;7;0.2;0.2;0.8;0.8;1.5;2
15:54:21:18;3.2;1.05;1;1;2;2;5;1;25;7;0.2;0.2;0.8;0.8;1.5;2
15:54:31:786;3.2;0.5;1;1;2;2;5;1;25;7;0.2;0.2;0.8;0.8;1.5;2
15:54:39:959;3.2;0.5;5;1;2;2;5;1;25;7;0.2;0.2;0.8;0.8;1.5;2
15:54:58:370;3.2;0.5;6;1;2;2;5;1;25;7;0.2;0.2;0.8;0.8;1.5;2
15:55:3:764;3.2;0.5;0.7;1;2;2;5;1;25;7;0.2;0.2;0.8;0.8;1.5;2
15:55:13:65;3.2;2;0.67;1;2;2;5;1;25;7;0.2;0.2;0.8;0.8;1.5;2
15:55:22:407;3.2;2.1;0.2;1;2;2;5;1;25;7;0.2;0.2;0.8;0.8;1.5;2
15:55:27:742;3.2;2.1;0.2;1;2;2;1;1;25;7;0.2;0.2;0.8;0.8;1.5;2
15:55:33:288;3.2;0.5;0.2;1;2;2;1;1;25;7;0.2;0.2;0.8;0.8;1.5;2
15:55:38:813;3.2;0.5;1;1;2;2;1;1;25;7;0.2;0.2;0.8;0.8;1.5;2
15:55:46:789;3.2;0.5;1;1;2;2;2;1;25;7;0.2;0.2;0.8;0.8;1.5;2
15:56:1:311;3.2;0.5;1;1;2;2;2;2;25;7;0.2;0.2;0.8;0.8;1.5;2
15:56:8:843;3.2;0.5;1;1;2;2;2;2;21;7;0.2;0.2;0.8;0.8;1.5;2
15:56:9:777;3.2;0.5;1;1;2;2;2;2;17;7;0.2;0.2;0.8;0.8;1.5;2
15:56:16:576;3.2;0.5;1;1;2;2;2;3;17;7;0.2;0.2;0.8;0.8;1.5;2
15:56:30:222;3.2;0.5;1;1;3;2;2;3;17;7;0.2;0.2;0.8;0.8;1.5;2
15:56:42:892;3.2;0.5;1;0.2;3;2;2;3;17;7;0.2;0.2;0.8;0.8;1.5;2
15:56:51:755;3.2;0.5;1;0;3;2;2;3;17;7;0.2;0.2;0.8;0.8;1.5;2
15:56:57:553;3.2;0.5;1;0.6;3;2;2;3;17;7;0.2;0.2;0.8;0.8;1.5;2
15:57:0:310;3.2;0.5;1;0.6;3;2;2;3;17;8;0.2;0.2;0.8;0.8;1.5;2
15:57:20:417;3.2;0.5;1;0.6;3;2;2;3;17;8;0.1;0.2;0.8;0.8;1.5;2
15:57:39:294;3.2;0.5;1;0.6;3;2;2;3;17;8;0.1;0.2;0.6;0.8;1.5;2
15:57:46:788;3.2;0.5;1;0.6;3;2;2;3;17;8;0.1;0.2;0.6;0.8;1.5;1
15:57:55:103;3.2;0.5;1;0.6;3;2;2;3;23;8;0.1;0.2;0.6;0.8;1.5;1
15:58:5:960;3.2;1;1;0.6;3;2;2;3;23;8;0.1;0.2;0.6;0.8;1.5;1
15:58:14:49;3.2;1.05;0.5;0.6;3;2;2;3;23;8;0.1;0.2;0.6;0.8;1.5;1
15:58:28:218;3.2;1.05;0.5;0.6;3;2;2;3;29;8;0.1;0.2;0.6;0.8;1.5;1
15:58:29:72;3.2;1.05;0.5;0.6;3;2;2;3;35;8;0.1;0.2;0.6;0.8;1.5;1
15:58:55:916;3.2;0.5;0.5;0.6;3;2;2;3;35;8;0.1;0.2;0.6;0.8;1.5;1
15:58:59:946;3.2;0.5;0.25;0.6;3;2;2;3;35;8;0.1;0.2;0.6;0.8;1.5;1
15:59:4:151;3.2;0.5;0.25;0.6;3;2;4;3;35;8;0.1;0.2;0.6;0.8;1.5;1
15:59:10:634;3.2;0.5;0.25;0.6;3;2;2;3;35;8;0.1;0.2;0.6;0.8;1.5;1
15:59:13:403;3.2;0.5;0.25;0.6;3;2;2;5;35;8;0.1;0.2;0.6;0.8;1.5;1
15:59:15:698;3.2;0.5;0.25;0.6;3;2;2;5;41;8;0.1;0.2;0.6;0.8;1.5;1
15:59:45:100;3.3;0.5;0.25;0.6;3;2;2;5;41;8;0.1;0.2;0.6;0.8;1.5;1
16:0:7:759;3.3;0.5;0.25;0.6;3;3;2;5;41;8;0.1;0.2;0.6;0.8;1.5;1
16:0:13:536;3.3;0.5;0.25;0.6;3;3;2;5;41;9;0.1;0.2;0.6;0.8;1.5;1
