Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
20:12:42:436;2.2;0.6;0.4;0.19;2;2;4;3;40;50;0.6;0.74;0.4;1.41;1.45;1
20:13:20:472;2.2;0.6;0.4;0.19;2;3;4;3;40;50;0.6;0.74;0.4;1.41;1.45;1
20:13:28:802;2.2;0.6;0.4;0.19;3;3;4;3;40;50;0.6;0.74;0.4;1.41;1.45;1
20:13:43:231;2.2;0.6;0.4;0.19;3;3;3;3;40;50;0.6;0.74;0.4;1.41;1.45;1
20:13:49:303;2.2;0.6;0.4;0.19;3;3;3;3;40;50;0.6;0.74;0.4;1.41;1;1
20:13:52:351;2.2;0.6;0.4;0.19;3;3;3;3;40;50;0.6;0.74;0.4;0.77;1;1
20:13:57:83;2.2;0.6;0.4;0.19;3;3;3;3;40;50;0.6;0.74;0.4;1.66;1;1
20:13:59:592;2.2;0.6;0.4;0.19;3;3;3;3;40;50;0.6;0.74;0.4;2.5;1;1
20:14:2:162;2.2;0.6;0.4;0.19;3;3;3;3;40;50;0.6;0.74;0.4;1.14;1;1
20:14:31:104;2.2;1.24;0.4;0.19;3;3;3;3;40;50;0.6;0.74;0.4;1.14;1;1
20:14:33:395;2.2;1.55;0.4;0.19;3;3;3;3;40;50;0.6;0.74;0.4;1.14;1;1
20:14:36:255;2.2;0.88;0.4;0.19;3;3;3;3;40;50;0.6;0.74;0.4;1.14;1;1
20:14:44:883;2.2;0.88;0.4;0.72;3;3;3;3;40;50;0.6;0.74;0.4;1.14;1;1
20:14:47:594;2.2;0.88;0.4;0.47;3;3;3;3;40;50;0.6;0.74;0.4;1.14;1;1
20:14:53:553;2.2;0.88;0.4;0.47;3;3;3;3;40;50;0.6;0.74;0.4;1.02;1;1
20:15:0:338;2.2;0.88;0.4;0.47;3;3;3;3;40;50;0.6;0.74;0.4;0.97;1;1
20:15:6:379;2.2;0.88;0.4;0.47;3;3;3;3;40;50;0.6;0.74;0.4;1;1;1
20:15:9:852;2.2;0.88;0.4;0.47;3;3;3;3;40;50;0.6;0.74;0.4;1;1.18;1
20:15:13:92;2.2;0.88;0.4;0.47;3;3;3;3;40;50;0.6;0.74;0.4;1;2.18;1
20:15:14:436;2.2;0.88;0.4;0.47;3;3;3;3;40;50;0.6;0.74;0.4;1;1.18;1
20:15:21:32;2.2;0.88;0.4;0.47;3;3;3;3;40;50;0.6;0.74;0.4;1;2;1
20:15:24:694;2.2;0.88;0.4;0.47;3;3;3;3;40;50;0.6;0.74;0.4;2;2;1
20:15:32:195;2.2;0.88;0.4;0.47;3;3;3;3;40;12;0.6;0.74;0.4;2;2;1
20:15:35:735;2.2;0.88;0.4;0.47;3;3;3;3;40;24;0.6;0.74;0.4;2;2;1
20:15:38:542;2.2;0.88;0.4;0.47;3;3;3;3;40;42;0.6;0.74;0.4;2;2;1
