Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
17:17:42:969;1.1;0.7;0.8;0.2;2;2;4;6;8;4;0.6;0.8;0.7;0.8;0.9;1
17:18:6:461;1.1;0.7;0.8;0.1;2;2;4;6;8;4;0.6;0.8;0.7;0.8;0.9;1
17:18:6:743;1.1;0.7;0.8;0;2;2;4;6;8;4;0.6;0.8;0.7;0.8;0.9;1
17:18:17:579;1.1;0.63;0.8;0;2;2;4;6;8;4;0.6;0.8;0.7;0.8;0.9;1
17:18:18:16;1.1;0.24;0.8;0;2;2;4;6;8;4;0.6;0.8;0.7;0.8;0.9;1
17:18:18:299;1.1;0.27;0.8;0;2;2;4;6;8;4;0.6;0.8;0.7;0.8;0.9;1
17:18:20:264;1.1;0.27;0.54;0;2;2;4;6;8;4;0.6;0.8;0.7;0.8;0.9;1
17:18:20:715;1.1;0.27;0.27;0;2;2;4;6;8;4;0.6;0.8;0.7;0.8;0.9;1
17:18:21:144;1.1;0.27;0.24;0;2;2;4;6;8;4;0.6;0.8;0.7;0.8;0.9;1
17:18:27:947;1.1;0.27;0.24;0;2;2;4;6;8;4;0.5;0.8;0.7;0.8;0.9;1
17:18:28:194;1.1;0.27;0.24;0;2;2;4;6;8;4;0.4;0.8;0.7;0.8;0.9;1
17:18:31:765;1.1;0.27;0.24;0;2;2;4;6;8;4;0.4;0.8;0.6;0.8;0.9;1
17:18:32:110;1.1;0.27;0.24;0;2;2;4;6;8;4;0.4;0.8;0.5;0.8;0.9;1
17:18:34:145;1.1;0.27;0.24;0;2;2;4;6;8;4;0.4;0.7;0.5;0.8;0.9;1
17:18:34:464;1.1;0.27;0.24;0;2;2;4;6;8;4;0.4;0.6;0.5;0.8;0.9;1
17:18:34:809;1.1;0.27;0.24;0;2;2;4;6;8;4;0.4;0.5;0.5;0.8;0.9;1
17:18:35:135;1.1;0.27;0.24;0;2;2;4;6;8;4;0.4;0.4;0.5;0.8;0.9;1
17:18:43:579;1.1;0.27;0.24;0.1;2;2;4;6;8;4;0.4;0.4;0.5;0.8;0.9;1
17:18:43:968;1.1;0.27;0.24;0.9;2;2;4;6;8;4;0.4;0.4;0.5;0.8;0.9;1
17:18:44:286;1.1;0.27;0.24;0.8;2;2;4;6;8;4;0.4;0.4;0.5;0.8;0.9;1
17:18:44:647;1.1;0.27;0.24;0.9;2;2;4;6;8;4;0.4;0.4;0.5;0.8;0.9;1
17:18:45:235;1.1;0.27;0.24;1;2;2;4;6;8;4;0.4;0.4;0.5;0.8;0.9;1
17:18:48:447;1.1;0.27;0.24;1;2;2;4;6;8;11;0.4;0.4;0.5;0.8;0.9;1
17:18:48:990;1.1;0.27;0.24;1;2;2;4;6;8;20;0.4;0.4;0.5;0.8;0.9;1
17:18:49:530;1.1;0.27;0.24;1;2;2;4;6;8;27;0.4;0.4;0.5;0.8;0.9;1
17:18:49:925;1.1;0.27;0.24;1;2;2;4;6;8;30;0.4;0.4;0.5;0.8;0.9;1
17:18:54:557;1.1;0.27;0.24;1;2;2;4;6;8;30;0.4;0.4;0.5;0.8;1;1
17:18:55:189;1.1;0.27;0.24;1;2;2;4;6;8;30;0.4;0.4;0.5;0.8;1.2;1
17:18:55:765;1.1;0.27;0.24;1;2;2;4;6;8;30;0.4;0.4;0.5;0.8;1.3;1
17:18:56:249;1.1;0.27;0.24;1;2;2;4;6;8;30;0.4;0.4;0.5;0.8;1.4;1
17:19:0:961;1.1;0.27;0.24;1;2;2;4;6;8;30;0.4;0.4;0.5;0.9;1.4;1
17:19:1:725;1.1;0.27;0.24;1;2;2;4;6;8;30;0.4;0.4;0.5;1.1;1.4;1
17:19:14:97;1.1;0.27;0.24;1;2;2;4;6;8;29;0.4;0.4;0.5;1.1;1.4;1
17:19:14:488;1.1;0.27;0.24;1;2;2;4;6;8;21;0.4;0.4;0.5;1.1;1.4;1
17:19:14:973;1.1;0.27;0.24;1;2;2;4;6;8;17;0.4;0.4;0.5;1.1;1.4;1
17:19:15:809;1.1;0.27;0.24;1;2;2;4;6;8;8;0.4;0.4;0.5;1.1;1.4;1
17:19:16:361;1.1;0.27;0.24;1;2;2;4;6;8;0;0.4;0.4;0.5;1.1;1.4;1
17:19:17:178;1.1;0.27;0.24;1;2;2;4;6;8;1;0.4;0.4;0.5;1.1;1.4;1
17:19:17:763;1.1;0.27;0.24;1;2;2;4;6;8;28;0.4;0.4;0.5;1.1;1.4;1
17:19:18:270;1.1;0.27;0.24;1;2;2;4;6;8;33;0.4;0.4;0.5;1.1;1.4;1
