Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
12:17:59:254;3.1;0.3;0.3;0.2;2;2;3;3;1;1;0.2;0.2;0.8;0.8;0.8;1
12:18:17:405;3.1;0.4;0.3;0.2;2;2;3;3;1;1;0.2;0.2;0.8;0.8;0.8;1
12:18:29:512;3.1;0.38;0.3;0.2;2;2;3;3;5;1;0.2;0.2;0.8;0.8;0.8;1
12:18:30:228;3.1;0.38;0.3;0.2;2;2;3;3;9;1;0.2;0.2;0.8;0.8;0.8;1
12:18:30:861;3.1;0.38;0.3;0.2;2;2;3;3;13;1;0.2;0.2;0.8;0.8;0.8;1
12:18:31:411;3.1;0.38;0.3;0.2;2;2;3;3;17;1;0.2;0.2;0.8;0.8;0.8;1
12:18:32:178;3.1;0.38;0.3;0.2;2;2;3;3;21;1;0.2;0.2;0.8;0.8;0.8;1
12:18:32:811;3.1;0.38;0.3;0.2;2;2;3;3;25;1;0.2;0.2;0.8;0.8;0.8;1
12:18:35:263;3.1;0.38;0.3;0.2;2;2;3;3;21;1;0.2;0.2;0.8;0.8;0.8;1
12:18:35:761;3.1;0.38;0.3;0.2;2;2;3;3;17;1;0.2;0.2;0.8;0.8;0.8;1
12:18:50:726;3.1;0.38;0.3;0.2;2;2;1;3;17;1;0.2;0.2;0.8;0.8;0.8;1
12:18:58:277;3.1;0.38;0.3;0.2;2;2;2;3;17;1;0.2;0.2;0.8;0.8;0.8;1
12:19:53:845;3.1;0.38;0.3;0.2;2;3;2;3;17;1;0.2;0.2;0.8;0.8;0.8;1
12:19:59:599;3.1;0.38;0.3;0.2;2;2;2;3;17;1;0.2;0.2;0.8;0.8;0.8;1
12:20:21:780;3.1;0.38;0.3;0;2;2;2;3;17;1;0.2;0.2;0.8;0.8;0.8;1
12:20:31:555;3.1;0.38;0.3;0;2;2;2;3;17;2;0.2;0.2;0.8;0.8;0.8;1
12:20:32:15;3.1;0.38;0.3;0;2;2;2;3;17;3;0.2;0.2;0.8;0.8;0.8;1
12:20:32:859;3.1;0.38;0.3;0;2;2;2;3;17;4;0.2;0.2;0.8;0.8;0.8;1
12:21:55:880;3.1;0.38;0.3;1;2;2;2;3;17;4;0.2;0.2;0.8;0.8;0.8;1
12:21:58:389;3.1;0.38;0.3;1;2;2;2;3;17;5;0.2;0.2;0.8;0.8;0.8;1
12:21:58:849;3.1;0.38;0.3;1;2;2;2;3;17;6;0.2;0.2;0.8;0.8;0.8;1
12:22:20:416;3.1;0.38;0.3;1;2;2;2;3;17;6;0.2;0.2;0.8;0.8;0.1;1
12:22:27:485;3.1;0.38;0.3;1;2;2;2;3;17;6;0.2;0.2;0.8;0.8;0.6;1
12:22:37:940;3.1;0.38;0.3;1;2;2;2;3;17;6;0.2;0.2;0.8;0.8;0.6;2
12:22:41:141;3.1;0.38;0.3;1;2;2;2;3;17;6;0.2;0.2;0.8;0.8;0.6;1
12:24:54:863;3.2;0.38;0.3;1;2;2;2;3;17;6;0.2;0.2;0.8;0.8;0.6;1
12:26:25:660;3.2;1;0.3;1;2;2;2;3;17;6;0.2;0.2;0.8;0.8;0.6;1
12:26:50:886;3.2;0.5;0.3;1;2;2;2;3;17;6;0.2;0.2;0.8;0.8;0.6;1
12:27:4:199;3.2;0.5;1;1;2;2;2;3;17;6;0.2;0.2;0.8;0.8;0.6;1
12:27:10:335;3.2;0.5;0.8;1;2;2;2;3;17;6;0.2;0.2;0.8;0.8;0.6;1
12:27:16:233;3.2;0.5;0.75;1;2;2;2;3;21;6;0.2;0.2;0.8;0.8;0.6;1
12:27:17:65;3.2;0.5;0.75;1;2;2;2;3;25;6;0.2;0.2;0.8;0.8;0.6;1
12:27:17:732;3.2;0.5;0.75;1;2;2;2;3;29;6;0.2;0.2;0.8;0.8;0.6;1
12:27:18:549;3.2;0.5;0.75;1;2;2;2;3;33;6;0.2;0.2;0.8;0.8;0.6;1
12:27:19:48;3.2;0.5;0.75;1;2;2;2;3;37;6;0.2;0.2;0.8;0.8;0.6;1
12:27:20:16;3.2;0.5;0.75;1;2;2;2;3;41;6;0.2;0.2;0.8;0.8;0.6;1
12:27:20:731;3.2;0.5;0.75;1;2;2;2;3;45;6;0.2;0.2;0.8;0.8;0.6;1
12:27:21:565;3.2;0.5;0.75;1;2;2;2;3;49;6;0.2;0.2;0.8;0.8;0.6;1
12:27:22:132;3.2;0.5;0.75;1;2;2;2;3;53;6;0.2;0.2;0.8;0.8;0.6;1
12:27:24:248;3.2;0.5;0.75;1;2;2;2;3;57;6;0.2;0.2;0.8;0.8;0.6;1
12:27:25:65;3.2;0.5;0.75;1;2;2;2;3;61;6;0.2;0.2;0.8;0.8;0.6;1
12:27:25:948;3.2;0.5;0.75;1;2;2;2;3;65;6;0.2;0.2;0.8;0.8;0.6;1
12:27:38:798;3.2;0.5;0.75;1;2;2;3;3;65;6;0.2;0.2;0.8;0.8;0.6;1
12:28:17:179;3.2;0.5;0.75;1;2;2;3;2;65;6;0.2;0.2;0.8;0.8;0.6;1
12:28:55:567;3.2;0.5;0.75;1;2;4;3;2;65;6;0.2;0.2;0.8;0.8;0.6;1
12:29:0:412;3.2;0.5;0.75;1;2;5;3;2;65;6;0.2;0.2;0.8;0.8;0.6;1
