Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
18:38:36:512;1.1;0.3;0.3;0.4;2;2;3;3;9;53;0.3;1.1;0.7;0.6;0.8;1
18:39:9:872;1.1;0.3;0.3;0.3;2;2;3;3;9;53;0.3;1.1;0.7;0.6;0.8;1
18:39:10:73;1.1;0.3;0.3;0.2;2;2;3;3;9;53;0.3;1.1;0.7;0.6;0.8;1
18:39:11:313;1.1;0.3;0.3;0.1;2;2;3;3;9;53;0.3;1.1;0.7;0.6;0.8;1
18:39:11:507;1.1;0.3;0.3;0;2;2;3;3;9;53;0.3;1.1;0.7;0.6;0.8;1
18:39:24:78;1.1;0.3;0.3;0;2;2;3;3;9;53;0.4;1.1;0.7;0.6;0.8;1
18:39:24:425;1.1;0.3;0.3;0;2;2;3;3;9;53;0.5;1.1;0.7;0.6;0.8;1
18:39:25:110;1.1;0.3;0.3;0;2;2;3;3;9;53;0.6;1.1;0.7;0.6;0.8;1
18:39:25:276;1.1;0.3;0.3;0;2;2;3;3;9;53;0.7;1.1;0.7;0.6;0.8;1
18:39:32:279;1.1;0.3;0.3;0;2;2;3;3;9;53;0.8;1.1;0.7;0.6;0.8;1
18:39:32:444;1.1;0.3;0.3;0;2;2;3;3;9;53;0.9;1.1;0.7;0.6;0.8;1
18:39:32:770;1.1;0.3;0.3;0;2;2;3;3;9;53;1;1.1;0.7;0.6;0.8;1
18:39:32:931;1.1;0.3;0.3;0;2;2;3;3;9;53;1.1;1.1;0.7;0.6;0.8;1
18:39:33:199;1.1;0.3;0.3;0;2;2;3;3;9;53;1.2;1.1;0.7;0.6;0.8;1
18:39:33:907;1.1;0.3;0.3;0;2;2;3;3;9;53;1.1;1.1;0.7;0.6;0.8;1
18:39:34:80;1.1;0.3;0.3;0;2;2;3;3;9;53;0.7;1.1;0.7;0.6;0.8;1
