Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
9:1:3:520;2.2;0.6;0.4;1;2;2;4;3;78;42;0.6;0.74;0.6;1.53;1.68;2
9:1:26:520;2.2;0.6;0.4;1;2;4;4;3;78;42;0.6;0.74;0.6;1.53;1.68;2
9:1:31:520;2.2;0.6;0.4;1;3;4;4;3;78;42;0.6;0.74;0.6;1.53;1.68;2
9:1:36:520;2.2;0.6;0.4;1;3;3;4;3;78;42;0.6;0.74;0.6;1.53;1.68;2
9:1:46:520;2.2;0.6;0.4;1;4;3;4;3;78;42;0.6;0.74;0.6;1.53;1.68;2
9:1:58:520;2.2;0.6;0.4;1;4;3;4;3;78;42;0.6;0.74;0.6;1.53;1.68;3
9:2:4:520;2.2;0.6;0.4;1;4;3;4;3;78;42;0.6;0.74;0.6;1.53;1.68;2
9:2:15:520;2.2;0.6;0.4;0;4;3;4;3;78;42;0.6;0.74;0.6;1.53;1.68;2
9:2:19:520;2.2;0.6;0.4;1;4;3;4;3;78;42;0.6;0.74;0.6;1.53;1.68;2
9:2:22:520;2.2;0.6;0.4;0.45;4;3;4;3;78;42;0.6;0.74;0.6;1.53;1.68;2
9:2:29:520;2.2;0.6;0.4;0.56;4;3;4;3;78;42;0.6;0.74;0.6;1.53;1.68;2
9:2:32:520;2.2;0.6;0.4;0.72;4;3;4;3;78;42;0.6;0.74;0.6;1.53;1.68;2
9:2:48:520;2.2;0.6;0.4;0;4;3;4;3;78;42;0.6;0.74;0.6;1.53;1.68;2
9:3:3:520;2.2;0.6;0.4;0.12;4;3;4;3;78;42;0.6;0.74;0.6;1.53;1.68;2
9:3:6:520;2.2;0.6;0.4;0.23;4;3;4;3;78;42;0.6;0.74;0.6;1.53;1.68;2
9:3:9:520;2.2;0.6;0.4;0.39;4;3;4;3;78;42;0.6;0.74;0.6;1.53;1.68;2
9:3:11:520;2.2;0.6;0.4;0.63;4;3;4;3;78;42;0.6;0.74;0.6;1.53;1.68;2
9:3:15:520;2.2;0.6;0.4;0.56;4;3;4;3;78;42;0.6;0.74;0.6;1.53;1.68;2
9:3:23:520;2.2;0.6;0.4;0.56;4;3;3;3;78;42;0.6;0.74;0.6;1.53;1.68;2
9:3:34:520;2.2;0.6;0.4;0.56;4;3;3;3;78;42;0.6;0.74;0.6;1.53;1.2;2
9:3:42:520;2.2;0.6;0.4;0.56;4;3;3;3;78;63;0.6;0.74;0.6;1.53;1.2;2
9:3:46:520;2.2;0.6;0.4;0.56;4;3;3;3;78;97;0.6;0.74;0.6;1.53;1.2;2
9:3:50:520;2.2;0.6;0.4;0.56;4;3;3;3;78;50;0.6;0.74;0.6;1.53;1.2;2
9:4:8:520;2.2;0.6;0.4;0.56;4;3;3;3;78;34;0.6;0.74;0.6;1.53;1.2;2
9:4:24:520;2.2;0.6;0.4;0.49;4;3;3;3;78;34;0.6;0.74;0.6;1.53;1.2;2
9:4:29:520;2.2;0.6;0.4;0.59;4;3;3;3;78;34;0.6;0.74;0.6;1.53;1.2;2
9:4:40:520;2.2;0.6;0.4;0.73;4;3;3;3;78;34;0.6;0.74;0.6;1.53;1.2;2
9:4:43:520;2.2;0.6;0.4;0.83;4;3;3;3;78;34;0.6;0.74;0.6;1.53;1.2;2
9:4:46:520;2.2;0.6;0.4;0.68;4;3;3;3;78;34;0.6;0.74;0.6;1.53;1.2;2
9:4:49:520;2.2;0.6;0.4;0.57;4;3;3;3;78;34;0.6;0.74;0.6;1.53;1.2;2
9:4:56:520;2.2;0.6;0.4;0.57;4;3;4;3;78;34;0.6;0.74;0.6;1.53;1.2;2
9:4:59:520;2.2;0.6;0.4;0.57;4;3;3;3;78;34;0.6;0.74;0.6;1.53;1.2;2
9:5:2:520;2.2;0.6;0.4;0.57;4;3;3;4;78;34;0.6;0.74;0.6;1.53;1.2;2
9:5:27:520;2.2;0.6;0.4;0.57;4;3;3;4;78;34;0.6;0.74;0.6;1.53;1.53;2
9:5:29:520;2.2;0.6;0.4;0.57;4;3;3;4;78;34;0.6;0.74;0.6;1.53;1.77;2
9:5:32:520;2.2;0.6;0.4;0.57;4;3;3;4;78;34;0.6;0.74;0.6;1.53;1.99;2
9:5:38:520;2.2;0.6;0.4;0.57;4;3;3;4;78;34;0.6;0.74;0.6;1.17;1.99;2
9:5:58:520;2.2;0.6;0.4;0.57;4;3;3;4;78;34;0.9;0.74;0.6;1.17;1.99;2
9:6:1:520;2.2;0.6;0.4;0.57;4;3;3;4;78;34;1.73;0.74;0.6;1.17;1.99;2
9:6:4:571;2.2;0.64;0.4;0.57;4;3;3;4;78;34;1.73;0.74;0.6;1.17;1.99;2
9:6:7:594;2.2;1.74;0.4;0.57;4;3;3;4;78;34;1.73;0.74;0.6;1.17;1.99;2
9:6:14:241;2.2;1.29;0.4;0.57;4;3;3;4;78;34;1.73;0.74;0.6;1.17;1.99;2
9:6:15:205;2.2;1.01;0.4;0.57;4;3;3;4;78;34;1.73;0.74;0.6;1.17;1.99;2
9:6:17:238;2.2;0.87;0.4;0.57;4;3;3;4;78;34;1.73;0.74;0.6;1.17;1.99;2
9:6:20:295;2.2;0.43;0.4;0.57;4;3;3;4;78;34;1.73;0.74;0.6;1.17;1.99;2
9:6:35:812;2.2;0.51;0.4;0.57;4;3;3;4;78;34;1.73;0.74;0.6;1.17;1.99;2
9:6:38:828;2.2;0.6;0.4;0.57;4;3;3;4;78;34;1.73;0.74;0.6;1.17;1.99;2
9:6:41:574;2.2;0.76;0.4;0.57;4;3;3;4;78;34;1.73;0.74;0.6;1.17;1.99;2
9:6:54:963;2.2;0.58;0.4;0.57;4;3;3;4;78;34;1.73;0.74;0.6;1.17;1.99;2
9:7:9:963;2.2;0.58;0.4;0.57;4;3;3;4;78;34;1.73;0.74;0.65;1.17;1.99;2
9:7:17:899;2.2;0.58;0.6;0.57;4;3;3;4;78;34;1.73;0.74;0.65;1.17;1.99;2
9:7:21:778;2.2;0.58;0.25;0.57;4;3;3;4;78;34;1.73;0.74;0.65;1.17;1.99;2
9:7:27:10;2.2;0.41;0.25;0.57;4;3;3;4;78;34;1.73;0.74;0.65;1.17;1.99;2
9:7:44:10;2.2;0.41;0.25;0.63;4;3;3;4;78;34;1.73;0.74;0.65;1.17;1.99;2
9:7:51:10;2.2;0.41;0.25;0.63;4;3;3;4;78;40;1.73;0.74;0.65;1.17;1.99;2
9:7:58:10;2.2;0.41;0.25;0.63;4;3;3;4;78;40;1.73;0.74;0.65;1.33;1.99;2
9:8:1:10;2.2;0.41;0.25;0.63;4;3;3;4;78;40;1.73;0.74;0.65;1.21;1.99;2
9:8:28:10;2.2;0.41;0.25;0.63;4;3;3;4;78;40;1.26;0.74;0.65;1.21;1.99;2
9:8:49:10;2.2;0.41;0.25;0.63;4;3;3;4;78;39;1.26;0.74;0.65;1.21;1.99;2
9:8:57:10;2.2;0.41;0.25;0.54;4;3;3;4;78;39;1.26;0.74;0.65;1.21;1.99;2
9:9:0:10;2.2;0.41;0.25;0.68;4;3;3;4;78;39;1.26;0.74;0.65;1.21;1.99;2
9:9:3:10;2.2;0.41;0.25;0.74;4;3;3;4;78;39;1.26;0.74;0.65;1.21;1.99;2
9:9:8:10;2.2;0.41;0.25;0.87;4;3;3;4;78;39;1.26;0.74;0.65;1.21;1.99;2
9:9:18:10;2.2;0.41;0.25;0.87;4;3;3;4;78;39;1.1;0.74;0.65;1.21;1.99;2
9:9:22:10;2.2;0.41;0.25;0.87;4;3;3;4;78;39;1.03;0.74;0.65;1.21;1.99;2
9:9:31:10;2.2;0.41;0.25;0;4;3;3;4;78;39;1.03;0.74;0.65;1.21;1.99;2
9:9:35:10;2.2;0.41;0.25;0.48;4;3;3;4;78;39;1.03;0.74;0.65;1.21;1.99;2
9:9:40:10;2.2;0.41;0.25;0.55;4;3;3;4;78;39;1.03;0.74;0.65;1.21;1.99;2
9:10:2:10;2.2;0.41;0.25;0.55;4;3;3;4;78;39;1.03;0.74;0.65;1.34;1.99;2
9:10:6:10;2.2;0.41;0.25;0.55;4;3;3;4;78;39;1.03;0.74;0.65;1.61;1.99;2
9:10:13:10;2.2;0.41;0.25;0.55;4;3;3;4;78;48;1.03;0.74;0.65;1.61;1.99;2
9:10:15:10;2.2;0.41;0.25;0.55;4;3;3;4;78;61;1.03;0.74;0.65;1.61;1.99;2
9:10:18:10;2.2;0.41;0.25;0.55;4;3;3;4;78;72;1.03;0.74;0.65;1.61;1.99;2
9:10:21:10;2.2;0.41;0.25;0.55;4;3;3;4;78;79;1.03;0.74;0.65;1.61;1.99;2
9:10:32:351;2.2;0.41;0.34;0.55;4;3;3;4;78;79;1.03;0.74;0.65;1.61;1.99;2
9:10:47:242;2.2;0.41;0.37;0.55;4;3;3;4;78;79;1.03;0.74;0.65;1.61;1.99;2
9:10:51:346;2.2;0.41;0.43;0.55;4;3;3;4;78;79;1.03;0.74;0.65;1.61;1.99;2
9:10:56:346;2.2;0.41;0.43;0.55;4;3;3;4;78;64;1.03;0.74;0.65;1.61;1.99;2
9:11:24:346;2.2;0.41;0.43;0.55;4;3;3;4;78;64;1.03;0.74;0.65;1.41;1.99;2
9:11:32:346;2.2;0.41;0.43;0.55;4;3;3;4;78;64;1.03;0.74;0.65;1.39;1.99;2
9:11:34:346;2.2;0.41;0.43;0.55;4;3;3;4;78;64;1.03;0.74;0.65;1.39;0.99;2
9:11:39:346;2.2;0.41;0.43;0.55;4;3;3;4;78;64;1.03;0.74;0.65;1.6;0.99;2
9:11:43:346;2.2;0.41;0.43;0.55;4;3;3;4;78;64;1.03;0.74;0.65;1.6;1.1;2
9:11:46:346;2.2;0.41;0.43;0.55;4;3;3;4;78;64;1.03;0.74;0.65;1.6;1.3;2
9:11:51:346;2.2;0.41;0.43;0.55;4;3;3;4;78;64;1.03;0.74;0.65;1.6;1.4;2
9:11:52:346;2.2;0.41;0.43;0.55;4;3;3;4;78;64;1.03;0.74;0.65;0.74;1.4;2
9:11:54:346;2.2;0.41;0.43;0.55;4;3;3;4;78;64;1.03;0.74;0.65;1.66;1.4;2
9:11:57:346;2.2;0.41;0.43;0.55;4;3;3;4;78;64;1.03;0.74;0.65;1.89;1.4;2
9:12:0:346;2.2;0.41;0.43;0.55;4;3;3;4;78;56;1.03;0.74;0.65;1.89;1.4;2
9:12:5:346;2.2;0.41;0.43;0.46;4;3;3;4;78;56;1.03;0.74;0.65;1.89;1.4;2
9:12:8:346;2.2;0.41;0.43;0.4;4;3;3;4;78;56;1.03;0.74;0.65;1.89;1.4;2
9:12:11:346;2.2;0.41;0.43;0.64;4;3;3;4;78;56;1.03;0.74;0.65;1.89;1.4;2
9:12:29:346;2.2;0.41;0.43;0.64;4;3;3;4;78;56;1.03;0.74;0.65;1.99;1.4;2
9:12:34:346;2.2;0.41;0.43;0.64;4;3;3;4;78;56;1.03;0.74;0.65;1.99;1.46;2
9:12:39:346;2.2;0.41;0.43;0.64;4;3;3;4;78;56;1.03;0.74;0.65;1.99;1.26;2
9:12:43:346;2.2;0.41;0.43;0.6;4;3;3;4;78;56;1.03;0.74;0.65;1.99;1.26;2
9:12:50:346;2.2;0.41;0.43;0.6;4;3;3;4;78;67;1.03;0.74;0.65;1.99;1.26;2
9:12:53:346;2.2;0.41;0.43;0.6;4;3;3;4;78;71;1.03;0.74;0.65;1.99;1.26;2
9:12:55:346;2.2;0.41;0.43;0.6;4;3;3;4;78;78;1.03;0.74;0.65;1.99;1.26;2
9:12:59:346;2.2;0.41;0.43;0.6;4;3;3;4;78;83;1.03;0.74;0.65;1.99;1.26;2
9:13:03:346;2.2;0.41;0.43;0.6;4;3;3;4;78;36;1.03;0.74;0.65;1.99;1.26;2
9:13:07:346;2.2;0.41;0.43;0.6;4;3;3;4;78;31;1.03;0.74;0.65;1.99;1.26;2
9:13:10:346;2.2;0.41;0.43;0.6;4;3;3;4;78;29;1.03;0.74;0.65;1.99;1.26;2
9:13:13:346;2.2;0.41;0.43;0.6;4;3;3;4;78;27;1.03;0.74;0.65;1.99;1.26;2
9:13:17:346;2.2;0.41;0.43;0.6;4;3;3;4;78;23;1.03;0.74;0.65;1.99;1.26;2
9:13:27:346;2.2;0.41;0.43;0.6;4;3;3;4;78;21;1.03;0.74;0.65;1.99;1.26;2
9:13:30:346;2.2;0.41;0.43;0.6;4;3;3;4;78;18;1.03;0.74;0.65;1.99;1.26;2
9:13:37:346;2.2;0.41;0.43;0.6;4;3;3;4;78;14;1.03;0.74;0.65;1.99;1.26;2
9:13:49:346;2.2;0.41;0.43;0.6;4;3;4;4;78;14;1.03;0.74;0.65;1.99;1.26;2
9:13:53:346;2.2;0.41;0.43;0.6;4;3;4;3;78;14;1.03;0.74;0.65;1.99;1.26;2
9:13:59:346;2.2;0.41;0.43;0.6;4;3;4;3;88;14;1.03;0.74;0.65;1.99;1.26;2
9:15:11:748;2.3;0.4;0.6;0.6;4;3;4;3;88;14;0.4;0.4;0.6;1.99;1.26;2
9:15:23:748;2.3;0.4;0.6;0.6;4;4;4;3;88;14;0.4;0.4;0.6;1.99;1.26;2
9:15:31:748;2.3;0.4;0.6;0.6;3;4;4;3;88;14;0.4;0.4;0.6;1.99;1.26;2
9:15:43:748;2.3;0.4;0.6;0.6;3;4;4;3;88;14;0.4;0.4;0.6;1.99;1.26;1
