Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
13:35:33:861;1.2;0.43;0.3;1;2;2;2;4;1;40;0.2;0.6;0.2;1.3;0.8;1
13:35:48:740;1.2;0.43;0.3;0.5;2;2;2;4;1;40;0.2;0.6;0.2;1.3;0.8;1
13:35:50:690;1.2;0.43;0.3;0;2;2;2;4;1;40;0.2;0.6;0.2;1.3;0.8;1
13:36:1:240;1.2;0.43;0.3;0;2;2;2;4;1;40;0.2;0.6;0.2;1.3;0.9;1
13:36:4:418;1.2;0.43;0.3;0;2;2;2;4;1;40;0.2;0.6;0.2;1.3;1.1;1
13:36:10:615;1.2;0.43;0.3;0;3;2;2;4;1;40;0.2;0.6;0.2;1.3;1.1;1
13:36:20:497;1.2;0.43;0.3;0;5;2;2;4;1;40;0.2;0.6;0.2;1.3;1.1;1
13:36:58:953;1.2;0.43;0.3;0;1;2;2;4;1;40;0.2;0.6;0.2;1.3;1.1;1
13:37:5:900;1.2;0.43;0.3;0;2;2;2;4;1;40;0.2;0.6;0.2;1.3;1.1;1
13:37:8:630;1.2;0.43;0.3;0;8;2;2;4;1;40;0.2;0.6;0.2;1.3;1.1;1
13:37:56:290;1.2;0.43;0.3;0;8;2;2;4;1;40;0.2;0.6;0.3;1.3;1.1;1
13:37:58:972;1.2;0.43;0.3;0;8;2;2;4;1;40;0.2;0.6;0.5;1.3;1.1;1
13:38:0:952;1.2;0.43;0.3;0;8;2;2;4;1;40;0.2;0.6;0.9;1.3;1.1;1
13:38:5:191;1.2;0.43;0.3;0;8;2;2;4;1;40;0.2;0.7;0.9;1.3;1.1;1
13:38:7:482;1.2;0.43;0.3;0;8;2;2;4;1;40;0.2;1;0.9;1.3;1.1;1
13:38:38:35;1.2;0.43;0.3;0;8;3;2;4;1;40;0.2;1;0.9;1.3;1.1;1
13:38:44:964;1.2;0.43;0.3;0;8;3;2;4;1;40;0.2;1;0.9;1.3;1.1;2
13:39:0:91;1.2;0.43;0.3;1;8;3;2;4;1;40;0.2;1;0.9;1.3;1.1;2
13:39:13:466;1.2;0.43;0.3;1;8;3;2;4;1;41;0.2;1;0.9;1.3;1.1;2
13:39:17:518;1.2;0.43;0.3;1;8;3;2;4;1;60;0.2;1;0.9;1.3;1.1;2
13:40:14:69;1.2;0.43;0.3;1;8;3;1;4;1;60;0.2;1;0.9;1.3;1.1;2
13:40:16:897;1.2;0.43;0.3;1;8;3;1;1;1;60;0.2;1;0.9;1.3;1.1;2
13:40:33:475;1.2;0.25;0.3;1;8;3;1;1;1;60;0.2;1;0.9;1.3;1.1;2
13:41:27:298;1.2;0.25;0.5;1;8;3;1;1;1;60;0.2;1;0.9;1.3;1.1;2
13:41:32:985;1.2;0.25;0.5;1;8;3;2;1;1;60;0.2;1;0.9;1.3;1.1;2
13:41:33:335;1.2;0.25;0.5;1;8;3;4;1;1;60;0.2;1;0.9;1.3;1.1;2
13:41:35:354;1.2;0.25;0.5;1;8;3;5;1;1;60;0.2;1;0.9;1.3;1.1;2
13:41:37:0;1.2;0.25;0.5;1;8;3;6;1;1;60;0.2;1;0.9;1.3;1.1;2
13:41:38:910;1.2;0.25;0.5;1;8;3;5;1;1;60;0.2;1;0.9;1.3;1.1;2
13:41:39:978;1.2;0.25;0.5;1;8;3;1;1;1;60;0.2;1;0.9;1.3;1.1;2
13:41:42:430;1.2;0.25;0.5;1;8;3;1;3;1;60;0.2;1;0.9;1.3;1.1;2
13:41:42:849;1.2;0.25;0.5;1;8;3;1;4;1;60;0.2;1;0.9;1.3;1.1;2
13:41:45:366;1.2;0.25;0.5;1;8;3;2;4;1;60;0.2;1;0.9;1.3;1.1;2
13:41:47:230;1.2;0.25;0.5;1;8;3;3;4;1;60;0.2;1;0.9;1.3;1.1;2
13:43:33:464;1.3;0.25;0.5;1;8;3;3;4;1;60;0.2;1;0.9;1.3;1.1;2
13:44:21:291;1.3;0.25;0.5;0;8;3;3;4;1;60;0.2;1;0.9;1.3;1.1;2
13:44:54:228;1.3;0.25;0.5;0;8;3;3;4;1;60;0.2;1;0.9;1.3;1.1;6
13:45:0:658;1.3;0.25;0.5;0;6;3;3;4;1;60;0.2;1;0.9;1.3;1.1;6
13:45:17:102;1.3;0.25;0.5;0;6;3;3;4;1;60;0.2;1;0.9;1.3;0.8;6
13:45:32:28;1.3;0.25;0.5;0;6;3;3;4;1;60;0.4;1;0.9;1.3;0.8;6
13:45:59:247;1.3;0.25;0.5;0;6;5;3;4;1;60;0.4;1;0.9;1.3;0.8;6
13:46:14:278;1.3;0.25;0.5;0;6;5;3;4;1;60;0.4;1;0.9;1.7;0.8;6
13:46:37:115;1.3;0.25;0.5;0;6;5;3;4;1;60;0.4;1;0.2;1.7;0.8;6
13:46:45:518;1.3;0.25;0.5;0;6;5;3;4;1;60;0.4;0.5;0.2;1.7;0.8;6
13:47:2:39;1.3;0.25;0.5;0.5;6;5;3;4;1;60;0.4;0.5;0.2;1.7;0.8;6
13:47:38:87;1.3;0.25;0.5;0.7;6;5;3;4;1;60;0.4;0.5;0.2;1.7;0.8;6
13:47:54:557;1.3;0.25;0.5;0.7;6;5;3;4;1;59;0.4;0.5;0.2;1.7;0.8;6
13:47:57:793;1.3;0.25;0.5;0.7;6;5;3;4;1;44;0.4;0.5;0.2;1.7;0.8;6
13:48:10:169;1.3;0.25;0.5;0.9;6;5;3;4;1;44;0.4;0.5;0.2;1.7;0.8;6
13:48:31:984;1.3;0.2;0.5;0.9;6;5;3;4;1;44;0.4;0.5;0.2;1.7;0.8;6
13:48:57:76;1.3;0.2;0.5;0.9;6;5;3;6;1;44;0.4;0.5;0.2;1.7;0.8;6
