Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
12:48:39:133;1.1;0.49;0.45;1;6;4;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:48:47:257;1.1;0.49;0.45;1;5;4;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:48:47:624;1.1;0.49;0.45;1;4;4;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:48:47:889;1.1;0.49;0.45;1;2;4;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:48:48:226;1.1;0.49;0.45;1;1;4;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:48:48:458;1.1;0.49;0.45;1;2;4;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:48:49:223;1.1;0.49;0.45;1;1;4;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:48:49:455;1.1;0.49;0.45;1;0;4;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:48:50:26;1.1;0.49;0.45;1;1;4;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:48:50:799;1.1;0.49;0.45;1;2;4;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:48:51:614;1.1;0.49;0.45;1;3;4;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:48:52:103;1.1;0.49;0.45;1;4;4;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:48:52:536;1.1;0.49;0.45;1;3;4;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:48:52:929;1.1;0.49;0.45;1;2;4;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:48:56:717;1.1;0.49;0.45;1;2;3;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:48:57:573;1.1;0.49;0.45;1;2;2;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:49:11:436;1.1;0.49;0.45;0.9;2;2;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:49:11:684;1.1;0.49;0.45;0.6;2;2;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:49:11:889;1.1;0.49;0.45;0;2;2;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:49:17:894;1.1;0.49;0.45;0.1;2;2;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:49:18:170;1.1;0.49;0.45;0.4;2;2;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:49:18:361;1.1;0.49;0.45;0.7;2;2;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:49:18:651;1.1;0.49;0.45;0.8;2;2;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:49:18:814;1.1;0.49;0.45;0.9;2;2;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:49:18:983;1.1;0.49;0.45;1;2;2;4;4;0;86;0.6;0.4;0.6;1;1.2;3
12:49:23:151;1.1;0.49;0.45;1;2;2;4;4;0;85;0.6;0.4;0.6;1;1.2;3
12:49:23:383;1.1;0.49;0.45;1;2;2;4;4;0;54;0.6;0.4;0.6;1;1.2;3
12:49:23:529;1.1;0.49;0.45;1;2;2;4;4;0;53;0.6;0.4;0.6;1;1.2;3
12:49:23:684;1.1;0.49;0.45;1;2;2;4;4;0;41;0.6;0.4;0.6;1;1.2;3
12:49:23:836;1.1;0.49;0.45;1;2;2;4;4;0;31;0.6;0.4;0.6;1;1.2;3
12:49:23:995;1.1;0.49;0.45;1;2;2;4;4;0;24;0.6;0.4;0.6;1;1.2;3
12:49:24:159;1.1;0.49;0.45;1;2;2;4;4;0;19;0.6;0.4;0.6;1;1.2;3
12:49:24:318;1.1;0.49;0.45;1;2;2;4;4;0;8;0.6;0.4;0.6;1;1.2;3
12:49:24:483;1.1;0.49;0.45;1;2;2;4;4;0;0;0.6;0.4;0.6;1;1.2;3
12:49:24:769;1.1;0.49;0.45;1;2;2;4;4;0;1;0.6;0.4;0.6;1;1.2;3
12:49:24:929;1.1;0.49;0.45;1;2;2;4;4;0;13;0.6;0.4;0.6;1;1.2;3
12:49:25:78;1.1;0.49;0.45;1;2;2;4;4;0;23;0.6;0.4;0.6;1;1.2;3
12:49:25:240;1.1;0.49;0.45;1;2;2;4;4;0;29;0.6;0.4;0.6;1;1.2;3
12:49:25:394;1.1;0.49;0.45;1;2;2;4;4;0;37;0.6;0.4;0.6;1;1.2;3
12:49:25:554;1.1;0.49;0.45;1;2;2;4;4;0;47;0.6;0.4;0.6;1;1.2;3
12:49:25:709;1.1;0.49;0.45;1;2;2;4;4;0;57;0.6;0.4;0.6;1;1.2;3
12:49:25:864;1.1;0.49;0.45;1;2;2;4;4;0;64;0.6;0.4;0.6;1;1.2;3
12:49:26:16;1.1;0.49;0.45;1;2;2;4;4;0;79;0.6;0.4;0.6;1;1.2;3
12:49:26:173;1.1;0.49;0.45;1;2;2;4;4;0;91;0.6;0.4;0.6;1;1.2;3
12:49:26:334;1.1;0.49;0.45;1;2;2;4;4;0;94;0.6;0.4;0.6;1;1.2;3
12:49:30:398;1.1;0.49;0.45;1;2;2;4;4;0;94;0.6;0.4;0.6;1;1.1;3
12:49:30:622;1.1;0.49;0.45;1;2;2;4;4;0;94;0.6;0.4;0.6;1;0.9;3
12:49:31:1;1.1;0.49;0.45;1;2;2;4;4;0;94;0.6;0.4;0.6;1;0.8;3
12:49:31:163;1.1;0.49;0.45;1;2;2;4;4;0;94;0.6;0.4;0.6;1;0.7;3
12:49:31:320;1.1;0.49;0.45;1;2;2;4;4;0;94;0.6;0.4;0.6;1;0.6;3
12:49:31:477;1.1;0.49;0.45;1;2;2;4;4;0;94;0.6;0.4;0.6;1;0.5;3
12:49:31:630;1.1;0.49;0.45;1;2;2;4;4;0;94;0.6;0.4;0.6;1;0.4;3
12:49:31:872;1.1;0.49;0.45;1;2;2;4;4;0;94;0.6;0.4;0.6;1;0.5;3
12:49:32:98;1.1;0.49;0.45;1;2;2;4;4;0;94;0.6;0.4;0.6;1;0.6;3
12:49:32:249;1.1;0.49;0.45;1;2;2;4;4;0;94;0.6;0.4;0.6;1;0.7;3
12:49:32:402;1.1;0.49;0.45;1;2;2;4;4;0;94;0.6;0.4;0.6;1;0.9;3
12:49:32:685;1.1;0.49;0.45;1;2;2;4;4;0;94;0.6;0.4;0.6;1;1;3
12:49:38:28;1.1;0.49;0.45;1;2;2;4;4;0;94;0.5;0.4;0.6;1;1;3
