Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
10:51:51:531;3.1;0.3;0.3;0.2;2;2;3;3;1;1;0.2;0.2;0.8;0.8;0.8;1
10:52:7:56;3.1;0.5;0.3;0.2;2;2;3;3;1;1;0.2;0.2;0.8;0.8;0.8;1
10:52:17:300;3.1;0.5;0.3;0.2;2;2;3;3;5;1;0.2;0.2;0.8;0.8;0.8;1
10:52:17:900;3.1;0.5;0.3;0.2;2;2;3;3;9;1;0.2;0.2;0.8;0.8;0.8;1
10:52:18:466;3.1;0.5;0.3;0.2;2;2;3;3;13;1;0.2;0.2;0.8;0.8;0.8;1
10:52:19:34;3.1;0.5;0.3;0.2;2;2;3;3;17;1;0.2;0.2;0.8;0.8;0.8;1
10:52:53:87;3.1;0.5;0.3;0.2;2;3;3;3;17;1;0.2;0.2;0.8;0.8;0.8;1
10:53:4:650;3.1;0.5;0.3;0;2;3;3;3;17;1;0.2;0.2;0.8;0.8;0.8;1
10:53:15:342;3.1;0.5;0.3;1;2;3;3;3;17;1;0.2;0.2;0.8;0.8;0.8;1
10:53:18:676;3.1;0.5;0.3;1;2;3;3;3;17;2;0.2;0.2;0.8;0.8;0.8;1
10:53:19:447;3.1;0.5;0.3;1;2;3;3;3;17;3;0.2;0.2;0.8;0.8;0.8;1
10:56:33:856;3.2;0.5;0.3;1;2;3;3;3;17;3;0.2;0.2;0.8;0.8;0.8;1
10:56:55:286;3.2;0.5;0.3;1;5;3;3;3;17;3;0.2;0.2;0.8;0.8;0.8;1
10:56:58:404;3.2;0.5;0.3;1;5;4;3;3;17;3;0.2;0.2;0.8;0.8;0.8;1
10:57:52:622;3.2;0.5;0.3;1;5;3;3;3;17;3;0.2;0.2;0.8;0.8;0.8;1
10:58:10:843;3.2;0.5;0.3;1;5;3;3;3;17;3;1;0.2;0.8;0.8;0.8;1
10:59:30:716;3.2;0.5;0.3;0.5;5;3;3;3;17;3;1;0.2;0.8;0.8;0.8;1
10:59:45:69;3.2;0.5;0.3;0.8;5;3;3;3;17;3;1;0.2;0.8;0.8;0.8;1
11:0:1:525;3.2;0.5;0.3;0.8;5;3;3;3;32;3;1;0.2;0.8;0.8;0.8;1
11:0:3:74;3.2;0.5;0.3;0.8;5;3;3;3;47;3;1;0.2;0.8;0.8;0.8;1
11:0:4:209;3.2;0.5;0.3;0.8;5;3;3;3;62;3;1;0.2;0.8;0.8;0.8;1
11:0:5:274;3.2;0.5;0.3;0.8;5;3;3;3;77;3;1;0.2;0.8;0.8;0.8;1
11:0:12:657;3.2;0.5;0.3;0.8;5;3;2;3;77;3;1;0.2;0.8;0.8;0.8;1
11:0:20:90;3.2;0.5;0.3;0.8;5;3;8;3;77;3;1;0.2;0.8;0.8;0.8;1
11:0:28:323;3.2;0.5;0.3;0.8;5;3;1;3;77;3;1;0.2;0.8;0.8;0.8;1
