Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
15:56:10:645;3.1;0.3;0.3;0.2;2;2;3;3;1;1;0.2;0.2;0.8;0.8;0.8;1
15:56:22:730;3.1;0.5;0.3;0.2;2;2;3;3;1;1;0.2;0.2;0.8;0.8;0.8;1
15:56:28:757;3.1;0.5;0.3;0.2;2;2;3;3;5;1;0.2;0.2;0.8;0.8;0.8;1
15:56:29:343;3.1;0.5;0.3;0.2;2;2;3;3;9;1;0.2;0.2;0.8;0.8;0.8;1
15:56:29:909;3.1;0.5;0.3;0.2;2;2;3;3;13;1;0.2;0.2;0.8;0.8;0.8;1
15:56:30:474;3.1;0.5;0.3;0.2;2;2;3;3;17;1;0.2;0.2;0.8;0.8;0.8;1
15:56:30:961;3.1;0.5;0.3;0.2;2;2;3;3;21;1;0.2;0.2;0.8;0.8;0.8;1
15:56:40:110;3.1;0.5;0.3;0.2;2;2;1;3;21;1;0.2;0.2;0.8;0.8;0.8;1
15:56:44:962;3.1;0.5;0.3;0.2;2;2;4;3;21;1;0.2;0.2;0.8;0.8;0.8;1
15:56:54:862;3.1;0.5;0.3;0.2;2;1;4;3;21;1;0.2;0.2;0.8;0.8;0.8;1
15:57:1:513;3.1;0.5;0.3;0.2;3;1;4;3;21;1;0.2;0.2;0.8;0.8;0.8;1
15:57:7:625;3.1;0.5;0.3;0;3;1;4;3;21;1;0.2;0.2;0.8;0.8;0.8;1
15:57:18:760;3.1;0.5;0.3;1;3;1;4;3;21;1;0.2;0.2;0.8;0.8;0.8;1
15:57:27:902;3.1;0.5;0.3;1;3;1;4;3;21;2;0.2;0.2;0.8;0.8;0.8;1
15:57:28:508;3.1;0.5;0.3;1;3;1;4;3;21;3;0.2;0.2;0.8;0.8;0.8;1
15:57:28:981;3.1;0.5;0.3;1;3;1;4;3;21;4;0.2;0.2;0.8;0.8;0.8;1
15:57:29:658;3.1;0.5;0.3;1;3;1;4;3;21;5;0.2;0.2;0.8;0.8;0.8;1
15:57:30:161;3.1;0.5;0.3;1;3;1;4;3;21;6;0.2;0.2;0.8;0.8;0.8;1
15:57:49:757;3.1;0.5;0.3;1;3;1;4;3;21;7;0.2;0.2;0.8;0.8;0.8;1
15:57:50:260;3.1;0.5;0.3;1;3;1;4;3;21;8;0.2;0.2;0.8;0.8;0.8;1
15:58:0:374;3.1;0.5;0.3;1;3;1;4;3;21;9;0.2;0.2;0.8;0.8;0.8;1
15:58:0:873;3.1;0.5;0.3;1;3;1;4;3;21;10;0.2;0.2;0.8;0.8;0.8;1
15:58:18:284;3.1;0.5;0.3;1;3;1;4;3;21;10;0.2;0.2;0.8;0.8;0.8;1
15:58:29:25;3.1;0.5;0.3;1;3;1;4;3;21;10;0.2;0.2;0.8;0.8;0.8;1
15:58:38:90;3.2;0.5;0.3;1;3;1;4;3;21;10;0.2;0.2;0.8;0.8;0.8;1
15:58:50:458;3.2;0.5;0.8;1;3;1;4;3;21;10;0.2;0.2;0.8;0.8;0.8;1
15:59:2:595;3.2;0.8;0.75;1;3;1;4;3;21;10;0.2;0.2;0.8;0.8;0.8;1
15:59:10:187;3.2;0.81;0.75;1;3;1;1;3;21;10;0.2;0.2;0.8;0.8;0.8;1
15:59:14:987;3.2;0.81;0.75;1;3;1;1;1;21;10;0.2;0.2;0.8;0.8;0.8;1
15:59:27:486;3.2;0.81;0.75;1;3;1;2;1;21;10;0.2;0.2;0.8;0.8;0.8;1
15:59:31:137;3.2;0.81;0.75;1;3;1;2;3;21;10;0.2;0.2;0.8;0.8;0.8;1
15:59:39:255;3.2;0.81;0.75;1;3;1;2;3;24;10;0.2;0.2;0.8;0.8;0.8;1
15:59:41:877;3.2;0.81;0.75;1;3;1;2;3;21;10;0.2;0.2;0.8;0.8;0.8;1
