Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber
14:3:9:503;1.;0.3;0.3;0.4;2;2;3;3;9;53;0.3;1.1;0.7;0.6;0.8;1
14:3:41:524;1.1;0.3;0.3;0.4;2;2;3;3;9;53;0.3;1.1;0.7;0.6;0.8;1
14:4:6:95;1.1;0.3;0.3;0.2;2;2;3;3;9;53;0.3;1.1;0.7;0.6;0.8;1
14:4:6:701;1.1;0.3;0.3;0;2;2;3;3;9;53;0.3;1.1;0.7;0.6;0.8;1
14:4:7:344;1.1;0.3;0.3;0.1;2;2;3;3;9;53;0.3;1.1;0.7;0.6;0.8;1
14:4:7:897;1.1;0.3;0.3;0;2;2;3;3;9;53;0.3;1.1;0.7;0.6;0.8;1
14:4:39:786;1.1;0.3;0.3;0;2;2;3;3;9;53;0.4;1.1;0.7;0.6;0.8;1
14:4:40:0;1.1;0.3;0.3;0;2;2;3;3;9;53;0.5;1.1;0.7;0.6;0.8;1
14:4:44:901;1.1;0.3;0.3;0;2;2;3;3;9;53;0.5;1.1;0.6;0.6;0.8;1
14:4:45:230;1.1;0.3;0.3;0;2;2;3;3;9;53;0.5;1.1;0.4;0.6;0.8;1
14:4:45:661;1.1;0.3;0.3;0;2;2;3;3;9;53;0.5;1.1;0.3;0.6;0.8;1
14:4:46:14;1.1;0.3;0.3;0;2;2;3;3;9;53;0.5;1.1;0.4;0.6;0.8;1
14:4:46:490;1.1;0.3;0.3;0;2;2;3;3;9;53;0.5;1.1;0.7;0.6;0.8;1
14:4:49:697;1.1;0.3;0.3;0;2;2;3;3;9;53;0.5;1;0.7;0.6;0.8;1
14:4:50:40;1.1;0.3;0.3;0;2;2;3;3;9;53;0.5;0.8;0.7;0.6;0.8;1
14:4:50:303;1.1;0.3;0.3;0;2;2;3;3;9;53;0.5;0.7;0.7;0.6;0.8;1
14:4:50:610;1.1;0.3;0.3;0;2;2;3;3;9;53;0.5;0.6;0.7;0.6;0.8;1
14:4:51:488;1.1;0.3;0.3;0;2;2;3;3;9;53;0.5;0.5;0.7;0.6;0.8;1
14:4:51:813;1.1;0.3;0.3;0;2;2;3;3;9;53;0.5;0.3;0.7;0.6;0.8;1
14:5:16:30;1.1;0.3;0.3;0.1;2;2;3;3;9;53;0.5;0.3;0.7;0.6;0.8;1
14:5:16:428;1.1;0.3;0.3;0.4;2;2;3;3;9;53;0.5;0.3;0.7;0.6;0.8;1
14:5:16:805;1.1;0.3;0.3;0.6;2;2;3;3;9;53;0.5;0.3;0.7;0.6;0.8;1
14:5:17:144;1.1;0.3;0.3;0.7;2;2;3;3;9;53;0.5;0.3;0.7;0.6;0.8;1
14:5:17:510;1.1;0.3;0.3;0.8;2;2;3;3;9;53;0.5;0.3;0.7;0.6;0.8;1
14:5:17:883;1.1;0.3;0.3;0.9;2;2;3;3;9;53;0.5;0.3;0.7;0.6;0.8;1
14:5:18:221;1.1;0.3;0.3;1;2;2;3;3;9;53;0.5;0.3;0.7;0.6;0.8;1
14:5:21:427;1.1;0.3;0.3;1;2;2;3;3;9;51;0.5;0.3;0.7;0.6;0.8;1
14:5:21:633;1.1;0.3;0.3;1;2;2;3;3;9;50;0.5;0.3;0.7;0.6;0.8;1
14:5:21:842;1.1;0.3;0.3;1;2;2;3;3;9;47;0.5;0.3;0.7;0.6;0.8;1
14:5:22:85;1.1;0.3;0.3;1;2;2;3;3;9;45;0.5;0.3;0.7;0.6;0.8;1
14:5:22:470;1.1;0.3;0.3;1;2;2;3;3;9;43;0.5;0.3;0.7;0.6;0.8;1
14:5:22:864;1.1;0.3;0.3;1;2;2;3;3;9;36;0.5;0.3;0.7;0.6;0.8;1
14:5:23:96;1.1;0.3;0.3;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;0.8;1
14:5:54:529;1.1;0.3;0.3;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;0.9;1
14:5:54:724;1.1;0.3;0.3;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1;1
14:5:55:16;1.1;0.3;0.3;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.1;1
14:5:55:427;1.1;0.3;0.3;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.2;1
14:5:55:782;1.1;0.3;0.3;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.3;1
14:5:56:28;1.1;0.3;0.3;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.4;1
14:5:56:287;1.1;0.3;0.3;1;2;2;3;3;9;31;0.5;0.3;0.7;0.6;1.5;1
