Type,Level,Order,Survey,variable,value
Grasshopper,303112001,1,A,Accessibility,9.0
Hybrid,303112001,2,A,Accessibility,9.0
Plugin,303112001,3,A,Accessibility,7.0
Grasshopper,303112001,1,B,Accessibility,
Hybrid,303112001,2,B,Accessibility,
Plugin,303112001,3,B,Accessibility,
Grasshopper,404000100,3,A,Accessibility,10.0
Hybrid,404000100,1,A,Accessibility,10.0
Plugin,404000100,2,A,Accessibility,10.0
Grasshopper,404000100,3,B,Accessibility,10.0
Hybrid,404000100,1,B,Accessibility,10.0
Plugin,404000100,2,B,Accessibility,9.0
Grasshopper,404223002,2,A,Accessibility,8.0
Hybrid,404223002,3,A,Accessibility,10.0
Plugin,404223002,1,A,Accessibility,9.0
Grasshopper,404223002,2,B,Accessibility,9.0
Hybrid,404223002,3,B,Accessibility,10.0
Plugin,404223002,1,B,Accessibility,8.0
Grasshopper,303334003,1,A,Accessibility,8.0
Hybrid,303334003,3,A,Accessibility,8.0
Plugin,303334003,2,A,Accessibility,7.0
Grasshopper,303334003,1,B,Accessibility,8.0
Hybrid,303334003,3,B,Accessibility,7.0
Plugin,303334003,2,B,Accessibility,7.0
Grasshopper,404113101,2,A,Accessibility,5.0
Hybrid,404113101,1,A,Accessibility,8.0
Plugin,404113101,3,A,Accessibility,5.0
Grasshopper,404113101,2,B,Accessibility,6.0
Hybrid,404113101,1,B,Accessibility,9.0
Plugin,404113101,3,B,Accessibility,6.0
Grasshopper,303221202,3,A,Accessibility,9.0
Hybrid,303221202,2,A,Accessibility,9.0
Plugin,303221202,1,A,Accessibility,8.0
Grasshopper,303221202,3,B,Accessibility,7.0
Hybrid,303221202,2,B,Accessibility,8.0
Plugin,303221202,1,B,Accessibility,9.0
Grasshopper,304420003,1,A,Accessibility,9.0
Hybrid,304420003,2,A,Accessibility,7.0
Plugin,304420003,3,A,Accessibility,10.0
Grasshopper,304420003,1,B,Accessibility,8.0
Hybrid,304420003,2,B,Accessibility,9.0
Plugin,304420003,3,B,Accessibility,10.0
Grasshopper,404113001,3,A,Accessibility,9.0
Hybrid,404113001,1,A,Accessibility,7.0
