Name,Level,Order,Type,Object,Time,TileXSize,TileYSize,Variability,Columns,Rows,MultipleX,MultipleY,CladdingSeed,OpeningSeed,MargeX,UpperMargin,LowerMargin,MinOpeningHeight,MinOpeningWidth,DoorNumber,Max,Total,CV
Khulan,303112001,1,Grasshopper,2,121.0,5.0,5.0,1.0,8.0,6.0,1.0,1.0,17.0,9.0,7.0,8.0,7.0,12.0,6.0,5.0,17.0,98.0,0.6464566725985683
Khulan,303112001,1,Grasshopper,3,92.0,3.0,1.0,6.0,4.0,5.0,3.0,1.0,10.0,1.0,1.0,13.0,14.0,12.0,1.0,4.0,14.0,79.0,0.8919336217697629
Khulan,303112001,1,Grasshopper,4,21.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,30.0,1.0177004891982149
Khulan,303112001,2,Hybrid,2,25.0,1.0,1.0,4.0,1.0,2.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,34.0,0.5394702734871245
Khulan,303112001,2,Hybrid,3,11.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,25.0,0.4898979485566356
Khulan,303112001,2,Hybrid,4,12.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,6.0,26.0,0.769917276078009
Khulan,303112001,3,Plugin,2,12.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,24.0,0.8451542547285166
Khulan,303112001,3,Plugin,3,25.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,9.0,11.0,1.0,1.0,2.0,2.0,2.0,2.0,11.0,39.0,1.1792084397504536
Khulan,303112001,3,Plugin,4,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,17.0,0.31046980171279265
Khulan,303112001,0,Tot,0,323.0,19.0,13.0,19.0,23.0,24.0,17.0,11.0,59.0,32.0,15.0,33.0,29.0,35.0,18.0,25.0,59.0,372.0,0.483678917340347
Khulan,303112001,0,Average,0,35.888888888888886,2.111111111111111,1.4444444444444444,2.111111111111111,2.5555555555555554,2.6666666666666665,1.8888888888888888,1.2222222222222223,6.555555555555555,3.5555555555555554,1.6666666666666667,3.6666666666666665,3.2222222222222223,3.888888888888889,2.0,2.7777777777777777,6.555555555555555,41.333333333333336,0.483678917340347
Khulan,303112001,0,Standard Deviation,0,41.2748241802568,1.4529663145135578,1.3333333333333337,1.763834207376394,2.2973414586817036,2.0615528128088303,0.927960727138337,0.4409585518440984,5.101742621671322,3.778594682918211,1.9999999999999996,4.387482193696062,4.493822920904255,4.702245326555294,1.6583123951777,1.2018504251546631,5.101742621671322,37.60199797177376,0.6159533355190122
Adrian,404000100,3,Grasshopper,2,75.0,4.0,2.0,1.0,5.0,3.0,1.0,1.0,15.0,19.0,6.0,2.0,3.0,1.0,5.0,3.0,19.0,71.0,1.1164010692944315
Adrian,404000100,3,Grasshopper,3,17.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,5.0,28.0,0.7263019876466504
Adrian,404000100,3,Grasshopper,4,16.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,30.0,1.349603116263656
Adrian,404000100,2,Plugin,2,20.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,1.0,3.0,1.0,1.0,2.0,6.0,30.0,0.6546536707079771
Adrian,404000100,2,Plugin,3,25.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,12.0,1.0,1.0,2.0,2.0,2.0,2.0,12.0,38.0,1.0744910723237135
Adrian,404000100,2,Plugin,4,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,17.0,0.3104698017127926
Adrian,404000100,0,Tot,0,220.0,34.0,38.0,11.0,17.0,14.0,16.0,13.0,23.0,53.0,19.0,11.0,14.0,10.0,15.0,14.0,53.0,302.0,0.6065377151503061
